Key,File,Type,UsedInMainMenu,NoTranslate,english
DoughsR1000_zombieBoeRadiated,entityclasses,Entity,,,Ann the Juicy
DoughsR1001_zombieWightFeral,entityclasses,Entity,,,Pearl the Merciless Feral Wight
DoughsR1002_zombieSteveFeral,entityclasses,Entity,,,Turbo the Careless and French
DoughsR1003_zombieArlene,entityclasses,Entity,,,Tornado the Severe
DoughsR1004_zombieDarleneFeral,entityclasses,Entity,,,Princess the Hungrily Strict
DoughsR1005_zombieMarleneFeral,entityclasses,Entity,,,Dominik the Pea-brained and Succinct
DoughsR1006_zombieFemaleFat,entityclasses,Entity,,,Durango the Guiltless Hungry Zombie
DoughsR1007_zombieCheerleader,entityclasses,Entity,,,Rachel the Shaky and Aback
DoughsR1008_zombieMoeRadiated,entityclasses,Entity,,,Pilot the Inappropriately Harsh and Totally Bitchy
DoughsR1009_zombieSoldierRadiated,entityclasses,Entity,,,Spencer the Stealthily Lewd
DoughsR100_zombieSteveFeral,entityclasses,Entity,,,Shiloh the Icy and Famously Misunderstood
DoughsR1010_zombieBusinessManFeral,entityclasses,Entity,,,Dane the Waiting and Actually
DoughsR1011_zombieScreamerRadiated,entityclasses,Entity,,,Lilianna the Fortunately Infuriating
DoughsR1012_zombieFarmerFeral,entityclasses,Entity,,,Fart Gobbler the Sickened
DoughsR1013_zombieSkateboarderRadiated,entityclasses,Entity,,,Cricket the Sane
DoughsR1014_zombieSnowFeral,entityclasses,Entity,,,Honor the Decisive
DoughsR1015_zombieSpiderFeral,entityclasses,Entity,,,Joe
DoughsR1016_zombieMaleHazmat,entityclasses,Entity,,,Amalia the Grizzled Hazardous Worker
DoughsR1017_zombieWightRadiated,entityclasses,Entity,,,Bonnie the Frightfully Fiery and Profane
DoughsR1018_zombieSteveRadiated,entityclasses,Entity,,,Devil French Fry Lover
DoughsR1019_zombieSkateboarderFeral,entityclasses,Entity,,,Marquis the Wholly Shocking and Chauvinistic
DoughsR101_zombieArlene,entityclasses,Entity,,,Preston the Deplorable
DoughsR1020_zombieSteve,entityclasses,Entity,,,Emmalyn
DoughsR1021_zombieSkateboarder,entityclasses,Entity,,,Magic the Daily Skater Punk Zombie
DoughsR1022_zombieJoeRadiated,entityclasses,Entity,,,Roberto the Curiously Underhanded and Inexcusable
DoughsR1023_zombieArleneRadiated,entityclasses,Entity,,,Milly the Really Rank and Moronic
DoughsR1024_legendaryZombieLab,entityclasses,Entity,,,Oncore the Unnatural
DoughsR1025_zombieFatCop,entityclasses,Entity,,,Donald the Grey and Cloudy
DoughsR1026_zombieYoFeral,entityclasses,Entity,,,Sterling
DoughsR1027_zombieJoe,entityclasses,Entity,,,Liam the Punctually Inconsequential and Acidic
DoughsR1028_zombieFemaleFatFeral,entityclasses,Entity,,,Guthrie the Gruely Boring Feral Hungry Zombie
DoughsR1029_zombieFemaleFatRadiated,entityclasses,Entity,,,Baylee the Impeccable
DoughsR102_zombieDarleneFeral,entityclasses,Entity,,,Wilder the Morose
DoughsR1030_zombieSoldier,entityclasses,Entity,,,Beatrice the Shameless Fallen Soldier
DoughsR1031_zombieYo,entityclasses,Entity,,,Vera the Thick
DoughsR1032_zombieScreamerFeral,entityclasses,Entity,,,Vivaan the Unlucky and Sure-footed
DoughsR1033_zombieSpiderRadiated,entityclasses,Entity,,,Bobo the Gross and Suburban
DoughsR1034_zombieNurse,entityclasses,Entity,,,Westin the Embarrassed To the Bone and Very Cold
DoughsR1035_zombieStripperFeral,entityclasses,Entity,,,Jeffrey the Weird
DoughsR1036_zombieJoeFeral,entityclasses,Entity,,,Gatlin the Positively Hospitable
DoughsR1037_zombieSteveCrawler,entityclasses,Entity,,,Blackjack the Salty
DoughsR1038_zombieOldTimer,entityclasses,Entity,,,Mira the Supportive
DoughsR1039_zombieDemolition,entityclasses,Entity,,,Aaron
DoughsR103_zombieMarleneFeral,entityclasses,Entity,,,Lonely the Godawful and Calculating
DoughsR1040_zombieBiker,entityclasses,Entity,,,Garrett the Always Demonic
DoughsR1041_zombieSteveCrawlerFeral,entityclasses,Entity,,,Cabaret the Slightly Hideous and Itchy
DoughsR1042_zombieJanitor,entityclasses,Entity,,,Musa the Dangerously Frisky
DoughsR1043_legendaryZombieBusinessMan,entityclasses,Entity,,,Breathless the Generally Infuriating and Stereotyped
DoughsR1044_zombieMarlene,entityclasses,Entity,,,Tori the Utterly Sad and Spiteful
DoughsR1045_zombieBikerRadiated,entityclasses,Entity,,,Mabel the Clueless
DoughsR1046_zombieArleneFeral,entityclasses,Entity,,,Stone the Gregarious and Unknown
DoughsR1047_zombieDarlene,entityclasses,Entity,,,Camille the Tepid
DoughsR1048_zombieFatHawaiianFeral,entityclasses,Entity,,,Lia the Irritable Feral Tourist
DoughsR1049_zombieYoRadiated,entityclasses,Entity,,,Porter the Howling
DoughsR104_zombieFemaleFat,entityclasses,Entity,,,Emmanuel
DoughsR1050_zombieSpider,entityclasses,Entity,,,Solace the Helplessly Content Spider Zombie
DoughsR1051_zombieUtilityWorker,entityclasses,Entity,,,Jairo the Impartial
DoughsR1052_zombieMoe,entityclasses,Entity,,,Miles the Joyously Savage Bloated Walker
DoughsR1053_zombieNurseFeral,entityclasses,Entity,,,Anthony the Intelligent
DoughsR1054_zombieBoe,entityclasses,Entity,,,Zoey
DoughsR1055_zombieFootballPlayer,entityclasses,Entity,,,Alanna the Sorry
DoughsR1056_zombieLabFeral,entityclasses,Entity,,,Nia the Suspiciously Dastardly and Dapper
DoughsR1057_zombieFatCopRadiated,entityclasses,Entity,,,Kal-el the Sane Radiated Policeman
DoughsR1058_zombieOldTimerFeral,entityclasses,Entity,,,Liliana the Strictly Scintillating
DoughsR1059_zombieFarmer,entityclasses,Entity,,,Barbie
DoughsR105_zombieCheerleader,entityclasses,Entity,,,Pocket the Concerned Cheerleader Zombie
DoughsR1060_zombieScreamer,entityclasses,Entity,,,Zion
DoughsR1061_zombieMoeFeral,entityclasses,Entity,,,Howdy the Gripping and Frothy
DoughsR1062_zombieStripper,entityclasses,Entity,,,Kylo the Unearthly and Abject
DoughsR1063_legendaryZombieUtilityWorker,entityclasses,Entity,,,Pistol
DoughsR1064_zombieFatHawaiian,entityclasses,Entity,,,Londyn the Boldly Impractical
DoughsR1065_zombieBoeFeral,entityclasses,Entity,,,Kylie
DoughsR1066_zombieBikerFeral,entityclasses,Entity,,,Bender
DoughsR1067_zombieLab,entityclasses,Entity,,,Brantley
