Key,File,Type,UsedInMainMenu,NoTranslate,english
DoughsR100_animalSnake,entityclasses,Entity,,,Alec the Gregarious
DoughsR101_animalBoar,entityclasses,Entity,,,Cutie the Quizzically Lazy and Aged
DoughsR102_animalDireWolf,entityclasses,Entity,,,Melany the Defeated
DoughsR103_animalZombieBear,entityclasses,Entity,,,Crosby the Unrealistic
DoughsR104_animalBossGrace,entityclasses,Entity,,,Darwin the Even Dangerously Frisky
DoughsR105_animalZombieVulture,entityclasses,Entity,,,Cuddles the Infantile Zombie Vulture
DoughsR106_animalWolf,entityclasses,Entity,,,Noodles
DoughsR107_animalMountainLion,entityclasses,Entity,,,Nylah the Really Lousy and Full
DoughsR108_animalZombieVultureRadiated,entityclasses,Entity,,,Lexie the Joint
DoughsR109_animalCoyote,entityclasses,Entity,,,Bronson the Likely Wandering
DoughsR10_animalWolf,entityclasses,Entity,,,Zyaire the Positively Inquisitive
DoughsR110_animalZombieDog,entityclasses,Entity,,,Cowgirl the Violent Zombie Dog
DoughsR111_animalBear,entityclasses,Entity,,,Pooh
DoughsR112_animalSnake,entityclasses,Entity,,,Zaire the Irritating and Atrocious
DoughsR113_animalBoar,entityclasses,Entity,,,Lola
DoughsR114_animalDireWolf,entityclasses,Entity,,,Clementine the Joyfully Stark and Uninterested
DoughsR115_animalZombieBear,entityclasses,Entity,,,Nora the Sarcastic
DoughsR116_animalBossGrace,entityclasses,Entity,,,Worm the Imperturbable
DoughsR117_animalZombieVulture,entityclasses,Entity,,,Lovely
DoughsR118_animalWolf,entityclasses,Entity,,,Devin the Tense and Acclaimed
DoughsR119_animalMountainLion,entityclasses,Entity,,,Jimena the Frightening
DoughsR11_animalMountainLion,entityclasses,Entity,,,Stretch the Merciless and Heinous
DoughsR120_animalZombieVultureRadiated,entityclasses,Entity,,,Cristian the Hurt
DoughsR121_animalCoyote,entityclasses,Entity,,,Dean the Frequent
DoughsR122_animalZombieDog,entityclasses,Entity,,,Bear the Reprehensible
DoughsR123_animalBear,entityclasses,Entity,,,Num Nums the Deplorable
DoughsR124_animalSnake,entityclasses,Entity,,,Zayden the Jovial
DoughsR125_animalBoar,entityclasses,Entity,,,Spunky the Frothy Boar
DoughsR126_animalDireWolf,entityclasses,Entity,,,Kaitlyn the Daintily Furious and Deficient
DoughsR127_animalZombieBear,entityclasses,Entity,,,Alaia
DoughsR128_animalBossGrace,entityclasses,Entity,,,Solomon the Searchingly Acceptable and Impish
DoughsR129_animalZombieVulture,entityclasses,Entity,,,Jack the Inquisitive
DoughsR12_animalZombieVultureRadiated,entityclasses,Entity,,,Nicky
DoughsR130_animalWolf,entityclasses,Entity,,,Savannah
DoughsR131_animalMountainLion,entityclasses,Entity,,,Riddle the Startled
DoughsR132_animalZombieVultureRadiated,entityclasses,Entity,,,Jaylee the Haunting
DoughsR133_animalCoyote,entityclasses,Entity,,,Pistol the Self-centered
DoughsR134_animalZombieDog,entityclasses,Entity,,,Snicker Doodle the Satisfying
DoughsR135_animalBear,entityclasses,Entity,,,Num Nums
DoughsR136_animalSnake,entityclasses,Entity,,,Danna the Internet Worthy and Saddened
