Key,File,Type,UsedInMainMenu,NoTranslate,english
DoughsR1000_zombieDemolition,entityclasses,Entity,,,Fiddle the Hopelessly Super Smelly and Ugly Like Your Ex
DoughsR1001_zombieSteveRadiated,entityclasses,Entity,,,Philip the Resentful
DoughsR1002_zombieSkateboarderRadiated,entityclasses,Entity,,,Liliana the Intentional
DoughsR1003_legendaryZombieBusinessMan,entityclasses,Entity,,,Cornelius
DoughsR1004_zombieSpiderRadiated,entityclasses,Entity,,,Genevieve the Severe
DoughsR1005_zombieSteveCrawlerFeral,entityclasses,Entity,,,Kaleb the Contemptible
DoughsR1006_zombieBoeRadiated,entityclasses,Entity,,,Zephyr the Annually Loose and Sympathetic
DoughsR1007_zombieFemaleFatFeral,entityclasses,Entity,,,Ivy the Hair-raising
DoughsR1008_zombieYoFeral,entityclasses,Entity,,,Cowboy the Content and Scented
DoughsR1009_zombieFatHawaiian,entityclasses,Entity,,,Finnley
DoughsR100_zombieSkateboarderRadiated,entityclasses,Entity,,,Eliseo the Squeamish and Jazzy
DoughsR1010_zombieScreamer,entityclasses,Entity,,,Rose the Separately Scornful Screamer Zombie
DoughsR1011_zombieSteve,entityclasses,Entity,,,Dan the Vengeful Reanimated Corpse
DoughsR1012_zombieMoe,entityclasses,Entity,,,Talon the Talented Bloated Walker
DoughsR1013_zombieFatCop,entityclasses,Entity,,,Jackson the Obviously Bitter Infected Policeman
DoughsR1014_zombieNurse,entityclasses,Entity,,,Armani the Boastfully Abominable and Malicious
DoughsR1015_zombieBoeFeral,entityclasses,Entity,,,Aayan the Mega Lurid Feral Infected Survivor
DoughsR1016_zombieCheerleaderFeral,entityclasses,Entity,,,Amalia the Humdrum and Fluffy
DoughsR1017_zombieNurseFeral,entityclasses,Entity,,,Marlon
DoughsR1018_zombieStripper,entityclasses,Entity,,,Jayden the Arrogantly Abusive Zombie Stripper
DoughsR1019_zombieSteveFeral,entityclasses,Entity,,,Amaia the Irate
DoughsR101_legendaryZombieBusinessMan,entityclasses,Entity,,,Nevaeh the Aboard and Stormy
DoughsR1020_zombieArlene,entityclasses,Entity,,,Isabelle
DoughsR1021_zombieOldTimerFeral,entityclasses,Entity,,,Leyla the Successfully Mostly Undead Feral Zombie Cowboy
DoughsR1022_zombieFemaleFat,entityclasses,Entity,,,Razor the Broadly Tasty Hungry Zombie
DoughsR1023_zombieSpiderFeral,entityclasses,Entity,,,Itzel
DoughsR1024_zombieYoRadiated,entityclasses,Entity,,,Nylah the Clumsy and Confused
DoughsR1025_zombieMaleHazmat,entityclasses,Entity,,,Ingrid the Hungry and Infatuated
DoughsR1026_zombieCheerleaderRadiated,entityclasses,Entity,,,Ledger the Deceased
DoughsR1027_zombieOldTimerRadiated,entityclasses,Entity,,,Milana
DoughsR1028_zombieJanitor,entityclasses,Entity,,,Emerson the Green and Humiliating
DoughsR1029_zombieSnow,entityclasses,Entity,,,Friday the Stale and Dangerously Frisky
DoughsR102_zombieSpiderRadiated,entityclasses,Entity,,,Bronson the Inborn and Secondary
DoughsR1030_zombieJanitorFeral,entityclasses,Entity,,,Marc the Wan
DoughsR1031_zombieJanitorRadiated,entityclasses,Entity,,,Genie the Lurking and Indecent
DoughsR1032_zombieWightFeral,entityclasses,Entity,,,Thaddeus the Standard and Resentful
DoughsR1033_zombieFootballPlayer,entityclasses,Entity,,,Nash the Seldom Illiterate
DoughsR1034_zombieBurnt,entityclasses,Entity,,,Lucky the Black Metal
DoughsR1035_zombieLabRadiated,entityclasses,Entity,,,Mark the Stable
DoughsR1036_zombieStripperFeral,entityclasses,Entity,,,Arnold
DoughsR1037_zombieBoe,entityclasses,Entity,,,Callen the Tripping and Idolized
DoughsR1038_zombieMoeFeral,entityclasses,Entity,,,Grant the Frothy and Lewd
DoughsR1039_zombieArleneRadiated,entityclasses,Entity,,,Partner the Honestly Insecure
DoughsR103_zombieSteveCrawlerFeral,entityclasses,Entity,,,Jewel the Messy Bloody and Lowlife
DoughsR1040_zombieUtilityWorker,entityclasses,Entity,,,Huxley
DoughsR1041_zombieBikerRadiated,entityclasses,Entity,,,Kinslee the Rudely Infantile
DoughsR1042_zombieOldTimer,entityclasses,Entity,,,Noemi the Elegantly Imported and Accomplished
DoughsR1043_zombieYo,entityclasses,Entity,,,Gator the Wan
DoughsR1044_zombieCheerleader,entityclasses,Entity,,,Kaylie the Yearningly Tense
DoughsR1045_zombieFatCopRadiated,entityclasses,Entity,,,Brandon the Weak
DoughsR1046_zombieSkateboarderFeral,entityclasses,Entity,,,Kolton the Absentmindedly Irate and Startled
DoughsR1047_zombieSkateboarder,entityclasses,Entity,,,Kason
DoughsR1048_zombieFarmer,entityclasses,Entity,,,Willow Sage the Lewd and Shrill
DoughsR1049_zombieJoeRadiated,entityclasses,Entity,,,Damien the Awkwardly Hyper Miserable and Famously Misunderstood
DoughsR104_zombieBoeRadiated,entityclasses,Entity,,,Nathan the Idealistic
DoughsR1050_legendaryZombieUtilityWorker,entityclasses,Entity,,,Lyra the Very Tacky
DoughsR1051_zombieBusinessManFeral,entityclasses,Entity,,,Jayleen the Loyally Morose and Kinda Deadly
DoughsR1052_zombieMarlene,entityclasses,Entity,,,Alvaro the Zealously Seemly Departed Woman
DoughsR1053_zombieMarleneFeral,entityclasses,Entity,,,Santino the Separate Feral Woman
DoughsR1054_zombieMarleneRadiated,entityclasses,Entity,,,Kendra
DoughsR1055_zombieFemaleFatRadiated,entityclasses,Entity,,,Endellion the Awkwardly Abnormally Deceiving
DoughsR1056_zombieJoeFeral,entityclasses,Entity,,,Ahmir the Ticked Off Feral Cadaver
DoughsR1057_zombieLab,entityclasses,Entity,,,Joyce the Icky
DoughsR1058_zombieScreamerRadiated,entityclasses,Entity,,,Thatcher the Dearest and Spine-chilling
DoughsR1059_zombieFatCopFeral,entityclasses,Entity,,,Landen the Majorly Corpselike and Considerate
DoughsR105_zombieFemaleFatFeral,entityclasses,Entity,,,Whinney the Highly Vengeful
DoughsR1060_zombieMoeRadiated,entityclasses,Entity,,,Bonnie the Maniacal
DoughsR1061_zombieFatHawaiianFeral,entityclasses,Entity,,,Kash the Mischievous
DoughsR1062_zombieBiker,entityclasses,Entity,,,Rory the Rarely Jumbled Zombie Biker
DoughsR1063_zombieArleneFeral,entityclasses,Entity,,,Rapunzel the Subsequent
DoughsR1064_zombieScreamerFeral,entityclasses,Entity,,,Pilot the Honored
DoughsR1065_zombieUtilityWorkerFeral,entityclasses,Entity,,,Janelle the Internet Famous Feral Utility Worker
DoughsR1066_zombieBikerFeral,entityclasses,Entity,,,Stefan the Inconclusive
DoughsR1067_zombieSpider,entityclasses,Entity,,,Florian
DoughsR1068_zombieSoldierFeral,entityclasses,Entity,,,Milan the Blissfully Shy and Dearly Weird
DoughsR1069_zombieSoldierRadiated,entityclasses,Entity,,,Andrew
DoughsR106_zombieYoFeral,entityclasses,Entity,,,Deborah
DoughsR1070_zombieSoldier,entityclasses,Entity,,,Jasiah the Ablaze
DoughsR1071_zombieSnowFeral,entityclasses,Entity,,,Keira the Unlined
DoughsR1072_zombieFarmerFeral,entityclasses,Entity,,,Shawnee the Grey Feral Zombie Farmer
DoughsR1073_legendaryZombieLab,entityclasses,Entity,,,Treasure the Lying and Homely
DoughsR1074_zombieSteveCrawler,entityclasses,Entity,,,Judith the Grimy Crawler
DoughsR1075_zombieLabFeral,entityclasses,Entity,,,Isabella
