Key,File,Type,UsedInMainMenu,NoTranslate,english
DoughsR100_animalDoe,entityclasses,Entity,,,Fruit Loop the Inconsequential
DoughsR101_animalChicken,entityclasses,Entity,,,Sweetheart
DoughsR102_animalStag,entityclasses,Entity,,,Muffinhead the Yieldingly Furious and Supportive
DoughsR103_animalRabbit,entityclasses,Entity,,,Whiskers
DoughsR104_animalDoe,entityclasses,Entity,,,Star the High-end and Loyal
DoughsR105_animalChicken,entityclasses,Entity,,,Joy the Svelte Chicken
DoughsR106_animalStag,entityclasses,Entity,,,Love Boodle the Shy and Female
DoughsR107_animalRabbit,entityclasses,Entity,,,Scooter the Wretched Rabbit
DoughsR108_animalDoe,entityclasses,Entity,,,Gummy Bear the Repeatedly Freak In the Sheets Doe
DoughsR109_animalChicken,entityclasses,Entity,,,Pookie the Offensively Condescending and Alert
DoughsR10_animalStag,entityclasses,Entity,,,Soldier the Frizzy Stag
DoughsR110_animalStag,entityclasses,Entity,,,Bunbuns the Joyous Stag
DoughsR111_animalRabbit,entityclasses,Entity,,,Short Cake the Tomorrow Outnumbered
DoughsR112_animalDoe,entityclasses,Entity,,,Cuddlebuns
DoughsR113_animalChicken,entityclasses,Entity,,,Sugah Boogah the Justly Ashen Chicken
DoughsR114_animalStag,entityclasses,Entity,,,Simon the Squealing and Dauntless
DoughsR115_animalRabbit,entityclasses,Entity,,,Girlfriend the Spiteful
DoughsR116_animalDoe,entityclasses,Entity,,,Midnight the Neatly Dangerously Frisky Doe
DoughsR117_animalChicken,entityclasses,Entity,,,Handyman the Peculiar Chicken
DoughsR118_animalStag,entityclasses,Entity,,,Dork the Melancholy and Sophisticated
DoughsR119_animalRabbit,entityclasses,Entity,,,Lady Killer the Unworthy Rabbit
DoughsR11_animalRabbit,entityclasses,Entity,,,Super Stud the Unworthy
DoughsR120_animalDoe,entityclasses,Entity,,,Teady Bear the Unripe Doe
DoughsR121_animalChicken,entityclasses,Entity,,,Hunk the Way Too Controlling Chicken
DoughsR122_animalStag,entityclasses,Entity,,,Darling the Scholarly Stag
DoughsR123_animalRabbit,entityclasses,Entity,,,Lamb the Highly Vengeful and Timeless
DoughsR124_animalDoe,entityclasses,Entity,,,Bubba the Rudely Spine-chilling and Clipped
DoughsR125_animalChicken,entityclasses,Entity,,,Mamacita the Secret
DoughsR126_animalStag,entityclasses,Entity,,,Handyman the Insubstantial
DoughsR127_animalRabbit,entityclasses,Entity,,,Candy the Looming
DoughsR128_animalDoe,entityclasses,Entity,,,Honey Cakes the Mentally Impaired and Tough
DoughsR129_animalChicken,entityclasses,Entity,,,Sweetheart the Showy
DoughsR12_animalDoe,entityclasses,Entity,,,Ducky the Cheerfully Defeated and Cagey
DoughsR130_animalStag,entityclasses,Entity,,,Mama the Sarcastic Stag
DoughsR131_animalRabbit,entityclasses,Entity,,,Chicken the Self-reliant and Cheeky
DoughsR132_animalDoe,entityclasses,Entity,,,Cookie Monster the Disturbing
DoughsR133_animalChicken,entityclasses,Entity,,,Lola the Icky Chicken
DoughsR134_animalStag,entityclasses,Entity,,,Mookie-pookie Bear the Courageously Serpentine Stag
DoughsR135_animalRabbit,entityclasses,Entity,,,Mittens
DoughsR136_animalDoe,entityclasses,Entity,,,Oreo the Wavy and Favorable
DoughsR137_animalChicken,entityclasses,Entity,,,Tater Tot the Questionably Wary
DoughsR138_animalStag,entityclasses,Entity,,,Boogabear the House-broken Stag
DoughsR139_animalRabbit,entityclasses,Entity,,,Wonderful the Knowledgeably Hideous Rabbit
DoughsR13_animalChicken,entityclasses,Entity,,,Beef Jerkey the Meaningfully Very Ill Chicken
DoughsR140_animalDoe,entityclasses,Entity,,,Dashing the Monstrous Doe
DoughsR141_animalChicken,entityclasses,Entity,,,Pretty Princess the Scintillating
DoughsR142_animalStag,entityclasses,Entity,,,Super Stud the Boastfully Shivering and Elementary
DoughsR143_animalRabbit,entityclasses,Entity,,,Hunny Pot the Immediately Grounded
DoughsR144_animalDoe,entityclasses,Entity,,,Max the Same
