Key,File,Type,UsedInMainMenu,NoTranslate,english
DoughsR100_animalBear,entityclasses,Entity,,,Honey Bun the Eccentric
DoughsR101_animalZombieVulture,entityclasses,Entity,,,Flower Child the Acrobatic
DoughsR102_animalCoyote,entityclasses,Entity,,,Alaiya the Knavishly Furry
DoughsR103_animalZombieDog,entityclasses,Entity,,,Sugar Smacks the Smelly and Moonstruck
DoughsR104_animalMountainLion,entityclasses,Entity,,,Solomon the Disturbingly Nasty
DoughsR105_animalBoar,entityclasses,Entity,,,Stud Muffin the Fretful
DoughsR106_animalDireWolf,entityclasses,Entity,,,Minot the Frightening and Subdued
DoughsR107_animalWolf,entityclasses,Entity,,,Adlai the Boldly Very Tactful
DoughsR108_animalZombieBear,entityclasses,Entity,,,Luisa the Pestilent and Indecent
DoughsR109_animalZombieVultureRadiated,entityclasses,Entity,,,Shepherd
DoughsR10_animalDireWolf,entityclasses,Entity,,,Axton the Cowardly and Completely Inhuman
DoughsR110_animalSnake,entityclasses,Entity,,,Reina the Condescending
DoughsR111_animalBossGrace,entityclasses,Entity,,,Clover the Separately Very Chauvinistic
DoughsR112_animalBear,entityclasses,Entity,,,Cleo the Joyous and Back
DoughsR113_animalZombieVulture,entityclasses,Entity,,,Fluffy
DoughsR114_animalCoyote,entityclasses,Entity,,,Slider the Voluntarily Clever
DoughsR115_animalZombieDog,entityclasses,Entity,,,Max the Acceptable and Clever
DoughsR116_animalMountainLion,entityclasses,Entity,,,Yousef the Very Perverted
DoughsR117_animalBoar,entityclasses,Entity,,,Captain the Victoriously Humble and Sweet
DoughsR118_animalDireWolf,entityclasses,Entity,,,Pocahontas the Stale and Tragically Hilarious
DoughsR119_animalWolf,entityclasses,Entity,,,Jace the Honored and Judicious
DoughsR11_animalWolf,entityclasses,Entity,,,Peso the Infinitely Sad
DoughsR120_animalZombieBear,entityclasses,Entity,,,Billy the Spooky
DoughsR121_animalZombieVultureRadiated,entityclasses,Entity,,,Elijah the Scary
