Key,File,Type,UsedInMainMenu,NoTranslate,english
DoughsR100_animalStag,entityclasses,Entity,,,Pickle Pie
DoughsR101_animalRabbit,entityclasses,Entity,,,Lovey Dovey the Selfish and Amuck
DoughsR102_animalChicken,entityclasses,Entity,,,Kitty the Promiscuous
DoughsR103_animalDoe,entityclasses,Entity,,,Cherry the Compassionate
DoughsR104_animalStag,entityclasses,Entity,,,Magic Princess the Self-absorbed
DoughsR105_animalRabbit,entityclasses,Entity,,,Harley
DoughsR106_animalChicken,entityclasses,Entity,,,Smokey the Ominous
DoughsR107_animalDoe,entityclasses,Entity,,,Hun Bun
DoughsR108_animalStag,entityclasses,Entity,,,Snuggles the Steep
DoughsR109_animalRabbit,entityclasses,Entity,,,Cuddly-wuddly the Unabashedly Abrasive and Close
DoughsR10_animalChicken,entityclasses,Entity,,,Frou-frou the Less Painfully Honest
DoughsR110_animalChicken,entityclasses,Entity,,,Yummers the Weird Chicken
DoughsR111_animalDoe,entityclasses,Entity,,,Loverboy the Rank and Eight
DoughsR112_animalStag,entityclasses,Entity,,,Trouble
DoughsR113_animalRabbit,entityclasses,Entity,,,Kiya the Wicked
DoughsR114_animalChicken,entityclasses,Entity,,,Dearie the Almost Sorta Deceased
DoughsR115_animalDoe,entityclasses,Entity,,,Bumpa the Witless
DoughsR116_animalStag,entityclasses,Entity,,,Abby the Clumsy
DoughsR117_animalRabbit,entityclasses,Entity,,,Sugar Lips
DoughsR118_animalChicken,entityclasses,Entity,,,Sugar Plum the Tame
DoughsR119_animalDoe,entityclasses,Entity,,,Nala the Outraged Doe
DoughsR11_animalDoe,entityclasses,Entity,,,Anchor the Underhanded Doe
DoughsR120_animalStag,entityclasses,Entity,,,My World the Warmhearted Stag
DoughsR121_animalRabbit,entityclasses,Entity,,,Dearie
DoughsR122_animalChicken,entityclasses,Entity,,,Baboo the Double-crossing and Classy
DoughsR123_animalDoe,entityclasses,Entity,,,Sheba the Randomly Seeping Doe
DoughsR124_animalStag,entityclasses,Entity,,,Abby the Sternly Dazzling Stag
DoughsR125_animalRabbit,entityclasses,Entity,,,Rose the Roughly Messy Bloody
DoughsR126_animalChicken,entityclasses,Entity,,,Love Muffin the Sugary Chicken
DoughsR127_animalDoe,entityclasses,Entity,,,Cuddlebug the Immense Doe
DoughsR128_animalStag,entityclasses,Entity,,,Cuddlebug the Irresponsible Stag
DoughsR129_animalRabbit,entityclasses,Entity,,,Handsome Baby Boo the Teeming
DoughsR12_animalStag,entityclasses,Entity,,,Knockout the Quickly Cruel-hearted
DoughsR130_animalChicken,entityclasses,Entity,,,Peanut the Sort Of Ugly and Cordial
DoughsR131_animalDoe,entityclasses,Entity,,,Doobie the Scrawny
DoughsR132_animalStag,entityclasses,Entity,,,Baby Boy
DoughsR133_animalRabbit,entityclasses,Entity,,,Cutie Pie the Infinite and Aggravating
DoughsR134_animalChicken,entityclasses,Entity,,,Sexy Mama the Chauvinistic
DoughsR135_animalDoe,entityclasses,Entity,,,Tootsie
DoughsR136_animalStag,entityclasses,Entity,,,Luna the Dimwitted Stag
DoughsR137_animalRabbit,entityclasses,Entity,,,Dearest the Scientific Rabbit
DoughsR138_animalChicken,entityclasses,Entity,,,Sailor the Fiercely Addicted and Fondly
DoughsR139_animalDoe,entityclasses,Entity,,,Snowball
DoughsR13_animalRabbit,entityclasses,Entity,,,Sweetness the Inappropriately Harsh Rabbit
DoughsR140_animalStag,entityclasses,Entity,,,Champ the Colorless
DoughsR141_animalRabbit,entityclasses,Entity,,,Sparky the Virtuous
DoughsR142_animalChicken,entityclasses,Entity,,,Jasper the Obviously Furious Chicken
DoughsR143_animalDoe,entityclasses,Entity,,,Baby Boo the Instructive and Adept
DoughsR144_animalStag,entityclasses,Entity,,,Chester the Daintily Insensitive and Baggy
DoughsR145_animalRabbit,entityclasses,Entity,,,Sugar Muffin the Profane
DoughsR146_animalChicken,entityclasses,Entity,,,Champion the Scream-worthy and Ecstatic
DoughsR147_animalDoe,entityclasses,Entity,,,Dumpling the Gladly Crazed
DoughsR148_animalStag,entityclasses,Entity,,,Beau the Very Complex
DoughsR149_animalRabbit,entityclasses,Entity,,,Daisy the Psycho Rabbit
DoughsR14_animalChicken,entityclasses,Entity,,,Snicker Doodle the Shakily Salty and Broke
DoughsR150_animalChicken,entityclasses,Entity,,,Monkey the Maximally Violent
DoughsR151_animalDoe,entityclasses,Entity,,,Chick
DoughsR152_animalStag,entityclasses,Entity,,,Dear Heart the Short-term Stag
DoughsR153_animalRabbit,entityclasses,Entity,,,Pop Tart the Beautifully Unhealthy Rabbit
DoughsR154_animalChicken,entityclasses,Entity,,,Tator-tot the Furious
DoughsR155_animalDoe,entityclasses,Entity,,,Cutie Head the Miserable Doe
DoughsR156_animalStag,entityclasses,Entity,,,Casper the Imaginative
DoughsR157_animalRabbit,entityclasses,Entity,,,Chloe the Equally Joyous Rabbit
DoughsR158_animalChicken,entityclasses,Entity,,,Darling the Hellish and Celestial
DoughsR159_animalDoe,entityclasses,Entity,,,Gracie
DoughsR15_animalDoe,entityclasses,Entity,,,Tootsie the Unimpressively Idealistic Doe
DoughsR160_animalStag,entityclasses,Entity,,,Smokey
