Key,File,Type,UsedInMainMenu,NoTranslate,english
DoughsR1000_zombiePartyGirlFeral,entityclasses,Entity,,,Yonkers
DoughsR1001_zombieFatCop,entityclasses,Entity,,,Kendrick the Intelligent and Short-term
DoughsR1002_zombieSoldier,entityclasses,Entity,,,Patriot the Queerly Wee
DoughsR1003_zombieDemolition,entityclasses,Entity,,,Wiley
DoughsR1004_zombieFemaleFatRadiated,entityclasses,Entity,,,Juan the Separate
DoughsR1005_zombieLabFeral,entityclasses,Entity,,,Diezel Ky the Watery
DoughsR1006_zombiePartyGirl,entityclasses,Entity,,,Jensen the Conscious Party Girl
DoughsR1007_zombieMoeRadiated,entityclasses,Entity,,,Thunder the Frightened Radiated Moe
DoughsR1008_zombieSpiderRadiated,entityclasses,Entity,,,Echo the Cloistered and Idle
DoughsR1009_zombieNurseFeral,entityclasses,Entity,,,Devin the Insidious Feral Nurse
DoughsR100_zombieNurseRadiated,entityclasses,Entity,,,Ann the Fatally Clear-cut and Fear-inspiring
DoughsR1010_zombieMarleneRadiated,entityclasses,Entity,,,Coraline the Unethically Afflicted and Very Colossal
DoughsR1011_zombieMoe,entityclasses,Entity,,,Albert the Irrational
DoughsR1012_zombieUtilityWorkerRadiated,entityclasses,Entity,,,Elisabeth the Punctually Abstracted Radiated Utility Worker
DoughsR1013_zombieYoFeral,entityclasses,Entity,,,Vanessa the Green Feral Yo
DoughsR1014_zombieYo,entityclasses,Entity,,,Solace the Gusty and Dark
DoughsR1015_zombieFatHawaiianFeral,entityclasses,Entity,,,Jumper the Invincible and Horrible
DoughsR1016_zombieJanitorRadiated,entityclasses,Entity,,,Jon
DoughsR1017_zombieSteveCrawlerFeral,entityclasses,Entity,,,River the Wetly Dank Feral Crawler
DoughsR1018_zombieSteveFeral,entityclasses,Entity,,,Aubrielle the Second
DoughsR1019_zombieFatCopFeral,entityclasses,Entity,,,Averi
DoughsR101_zombieBusinessManFeral,entityclasses,Entity,,,Juliette the Very Tacky and Guiltless
