Key,File,Type,UsedInMainMenu,NoTranslate,english
DoughsR100_zombieArlene,entityclasses,Entity,,,Correspondent the Calculating
DoughsR101_zombieLab,entityclasses,Entity,,,Fish and Chips the Mega Lurid
DoughsR102_zombieDarlene,entityclasses,Entity,,,Blake the Corrupt and Rank
DoughsR103_zombieUtilityWorker,entityclasses,Entity,,,Tokapilo the Crockpot Of Sadness Utility Worker Zombie
DoughsR104_zombieUtilityWorkerFeral,entityclasses,Entity,,,Payton the Drunken Feral Utility Worker
DoughsR105_zombieBiker,entityclasses,Entity,,,Sansa the Slap Happy Zombie Biker
DoughsR106_zombieSteveCrawler,entityclasses,Entity,,,Kalani
DoughsR107_zombieJanitorFeral,entityclasses,Entity,,,Koi the Dreadful and Flawed
DoughsR108_zombieStripperFeral,entityclasses,Entity,,,Mowgli
DoughsR109_zombieSteve,entityclasses,Entity,,,Callaway the Impertinent and Fart Collecting
DoughsR10_zombieMarlene,entityclasses,Entity,,,Zion the Almost Dead Departed Woman
DoughsR110_zombieSkateboarderFeral,entityclasses,Entity,,,Fluffy
DoughsR111_zombieSoldier,entityclasses,Entity,,,Azari the Slightly Indecent
DoughsR112_zombieBusinessMan,entityclasses,Entity,,,Smiley the Bitter
DoughsR113_zombieFarmerFeral,entityclasses,Entity,,,Averill the Smelly Feral Zombie Farmer
DoughsR114_zombieLabRadiated,entityclasses,Entity,,,Tiamii the Unearthly
DoughsR115_zombieJoeFeral,entityclasses,Entity,,,Kamryn the Witch-approved
DoughsR116_zombieDarleneRadiated,entityclasses,Entity,,,Landry
DoughsR117_zombieCheerleader,entityclasses,Entity,,,Domino the Resentful and Evil
DoughsR118_zombieFatHawaiianFeral,entityclasses,Entity,,,Alucard the Pestilent
DoughsR119_zombieWightFeral,entityclasses,Entity,,,Banta
DoughsR11_zombieLabFeral,entityclasses,Entity,,,Angel the Reasonably Ungrateful
DoughsR120_zombieArleneFeral,entityclasses,Entity,,,River the Impatient
DoughsR121_zombieSnowFeral,entityclasses,Entity,,,Montana the Stubborn
DoughsR122_zombieBoeFeral,entityclasses,Entity,,,Wilder the Rebellious Feral Infected Survivor
DoughsR123_zombieScreamerFeral,entityclasses,Entity,,,Royal the Heinous Feral Screamer
DoughsR124_zombieYo,entityclasses,Entity,,,Quarry the Demanding
DoughsR125_zombieMoeRadiated,entityclasses,Entity,,,Facebook the Painfully Lewd
DoughsR126_zombieNurseFeral,entityclasses,Entity,,,Rylan the Depraved and Shaking
DoughsR127_zombieFarmer,entityclasses,Entity,,,North the Really Naughty
DoughsR128_zombieFootballPlayer,entityclasses,Entity,,,Bowie the Highly Vengeful and Totally Smelly
DoughsR129_zombieSoldierRadiated,entityclasses,Entity,,,Gentry
DoughsR12_zombieFatHawaiian,entityclasses,Entity,,,Crimson the Slippery Disturbed Tourist
DoughsR130_zombieMarleneFeral,entityclasses,Entity,,,Noodles the Cowardly Feral Woman
DoughsR131_zombieScreamerRadiated,entityclasses,Entity,,,Rosy
DoughsR132_zombieWightRadiated,entityclasses,Entity,,,Slytherin the Majorly Corpselike and Fart Handling
DoughsR133_zombieFemaleFatFeral,entityclasses,Entity,,,Moxie Crimefighter
DoughsR134_zombieMoe,entityclasses,Entity,,,Story the Harmful Bloated Walker
DoughsR135_zombieScreamer,entityclasses,Entity,,,Gump the Sort Of Cheap Screamer Zombie
DoughsR136_zombieArleneRadiated,entityclasses,Entity,,,Landry the Afflicted
DoughsR137_zombieMaleHazmat,entityclasses,Entity,,,Elliot the Relatively Abnormal
DoughsR138_zombieBoeRadiated,entityclasses,Entity,,,Solar
DoughsR139_zombieSteveFeral,entityclasses,Entity,,,Rosy
DoughsR13_zombieCheerleaderFeral,entityclasses,Entity,,,Robin the Mentally Impaired Feral Cheerleader Zombie
DoughsR140_zombieDarleneFeral,entityclasses,Entity,,,I. P. Freely
DoughsR141_zombieMoeFeral,entityclasses,Entity,,,Rebel the Pestilent
DoughsR142_zombieBikerFeral,entityclasses,Entity,,,Waffles the Distressed
DoughsR143_zombieOldTimerFeral,entityclasses,Entity,,,Storm the Bitter and Stinky
DoughsR144_zombieSkateboarder,entityclasses,Entity,,,Tiamii the Barbed
DoughsR145_zombieFemaleFatRadiated,entityclasses,Entity,,,Fart Face the Majorly Corpselike
DoughsR146_zombieBusinessManFeral,entityclasses,Entity,,,Adair the Impatient Feral Zombie Businessman
DoughsR147_zombieSpiderRadiated,entityclasses,Entity,,,Kyrie the Profane and Famously Misunderstood
DoughsR148_zombieFatCopFeral,entityclasses,Entity,,,Everest the Ultra Hateful and Whiny
DoughsR149_zombieJoeRadiated,entityclasses,Entity,,,Sawyer the Zippy
DoughsR14_zombieNurse,entityclasses,Entity,,,Averill the Frozen Plagued Nurse
DoughsR150_zombieSteveCrawlerFeral,entityclasses,Entity,,,Justice the Sadistic and Outnumbered
DoughsR151_legendaryZombieBusinessMan,entityclasses,Entity,,,Breathless the Lurking and Dumb
DoughsR152_legendaryZombieUtilityWorker,entityclasses,Entity,,,Captain Morgan the Troubled and Loose
DoughsR153_zombieSteveRadiated,entityclasses,Entity,,,Kingsley the Majorly Corpselike
DoughsR154_zombieBoe,entityclasses,Entity,,,Nike the Hellish and Warped
DoughsR155_zombieOldTimer,entityclasses,Entity,,,Fartinghouse the Seeping
DoughsR156_zombieBikerRadiated,entityclasses,Entity,,,Baldwin the Eerie
DoughsR157_zombieOldTimerRadiated,entityclasses,Entity,,,Angel the Impatient and Hurtful
DoughsR158_zombieSoldierFeral,entityclasses,Entity,,,Rylan the Fugly and Depressing
DoughsR159_zombieMarleneRadiated,entityclasses,Entity,,,Breslin the At-the-ready and Rank
DoughsR15_zombieYoRadiated,entityclasses,Entity,,,Rebel the Shady
DoughsR160_zombieJoe,entityclasses,Entity,,,Carden the Treacherous Festering Cadaver
DoughsR161_zombieSkateboarderRadiated,entityclasses,Entity,,,Lefty the Low
DoughsR162_zombieSnow,entityclasses,Entity,,,Zen
DoughsR163_zombieSpiderFeral,entityclasses,Entity,,,Jellybean the Lousy and Obviously Dirty
DoughsR164_zombieJanitor,entityclasses,Entity,,,Tavi the Fart Juggling
DoughsR165_zombieFatCopRadiated,entityclasses,Entity,,,Taco the Trashy
DoughsR166_zombieCheerleaderRadiated,entityclasses,Entity,,,Captain Morgan the Unhappy and Haggard
DoughsR167_zombieDemolition,entityclasses,Entity,,,Tory the Dirty
DoughsR168_legendaryZombieLab,entityclasses,Entity,,,Fart the Fiery
DoughsR169_zombieFatCop,entityclasses,Entity,,,Smarty the Shamefully Careless
DoughsR16_zombieStripper,entityclasses,Entity,,,Toodles the Deceased and Really Smelly
DoughsR170_zombieYoFeral,entityclasses,Entity,,,Miffy the Noxious Feral Carcass
DoughsR171_zombieFemaleFat,entityclasses,Entity,,,Morgan the Slightly Damned and Mischievous
DoughsR172_zombieSpider,entityclasses,Entity,,,Gianni
DoughsR173_zombieJanitorRadiated,entityclasses,Entity,,,Rumi the Savage and Scream-worthy
DoughsR174_zombieMarlene,entityclasses,Entity,,,Christmas the Rebellious and Sticky
DoughsR175_zombieLabFeral,entityclasses,Entity,,,Tarian the Dangerously Frisky
DoughsR176_zombieFatHawaiian,entityclasses,Entity,,,Vye Brator the Perverted
DoughsR177_zombieCheerleaderFeral,entityclasses,Entity,,,Cornelius the Troubled
DoughsR178_zombieNurse,entityclasses,Entity,,,Fart Maestro the Fiery
DoughsR179_zombieYoRadiated,entityclasses,Entity,,,Scout the Up-to-no-good
DoughsR17_zombieBurnt,entityclasses,Entity,,,Dakota the Empty
DoughsR180_zombieStripper,entityclasses,Entity,,,Cat the Slap Happy and Ill-tempered
DoughsR181_zombieBurnt,entityclasses,Entity,,,Remy the Depraved Burn Victim
DoughsR182_zombieArlene,entityclasses,Entity,,,Lakota the Arrogant and Drunken
DoughsR183_zombieLab,entityclasses,Entity,,,Hayden the Dismal
DoughsR184_zombieDarlene,entityclasses,Entity,,,Tatum the Hurtful
DoughsR185_zombieUtilityWorker,entityclasses,Entity,,,Solace the Highly Promiscuous
DoughsR186_zombieUtilityWorkerFeral,entityclasses,Entity,,,Kree the Icky Feral Utility Worker
DoughsR187_zombieBiker,entityclasses,Entity,,,Jessie the Startling
DoughsR188_zombieSteveCrawler,entityclasses,Entity,,,Butter Churner
DoughsR189_zombieJanitorFeral,entityclasses,Entity,,,Camera the Malicious and Embarrassed To the Bone
DoughsR18_zombieArlene,entityclasses,Entity,,,Fart Juggler
DoughsR190_zombieStripperFeral,entityclasses,Entity,,,Hollis the Ultra Hateful Feral Stripper
DoughsR191_zombieSteve,entityclasses,Entity,,,Poet the Harmful and Pea-brained
